ent history for donk,,,,,,
1 - 92 of 92,,,,,,
#,Event,Team,Maps,KPR - DPR,plus_minus,Rating3.0
2nd,SCL Season 8,Spirit Academy,2,0.72 - 0.70,1,1.14 *
1st,CCT West Europe Series 1,Spirit Academy,17,0.86 - 0.65,93,1.32 *
3-4th,IEM Rio 2023 Europe Open Qualifier 1,Spirit Academy,4,0.90 - 0.69,23,1.35 *
17-24th,ESEA Advanced Season 43 Europe,Spirit Academy,9,0.75 - 0.68,16,1.12 *
11-14th,Thunderpick Bitcoin Series 2,Spirit Academy,6,0.64 - 0.73,-14,1.03 *
1st,SCL Season 7,Spirit Academy,4,0.86 - 0.54,30,1.44 *
5-6th,1xBet FRAG Season 10,Spirit Academy,2,0.75 - 0.70,3,1.24 *
2nd,WePlay Academy League Season 6,Spirit Academy,20,0.80 - 0.65,87,1.22 *
3rd,FASTCUP Grand Tour 2022,Spirit Academy,5,0.64 - 0.74,-12,0.91 *
1st,1xBet FRAG Season 9,Spirit Academy,12,0.83 - 0.61,73,1.22 *
2nd,WePlay Academy League Season 5,Spirit Academy,26,0.76 - 0.69,46,1.12 *
3-4th,ESEA Summer 2022 Cash Cup 3 Europe,Spirit Academy,2,0.72 - 0.74,-1,1.06 *
11-12th,WePlay Academy League Season 4,Spirit Academy,13,0.67 - 0.63,16,1.05 *
3-4th,ESEA Winter 2021 Cash Cup 5 Europe,Antarctica,2,0.65 - 0.65,0,1.02 *
25-40th,Malta Vibes Knockout Series 3,Spirit Academy,1,0.71 - 0.68,1,1.20 *
3-4th,WhiteBIT Cup 2021,Spirit Academy,1,0.83 - 0.77,2,1.21 *
17-24th,Malta Vibes Knockout Series 2,Spirit Academy,3,0.71 - 0.74,-3,1.00 *
3-4th,Insane FASTCUP 1,Spirit Academy,2,0.58 - 0.76,-8,0.92 *
5-8th,Funspark ULTI 2021 Europe Regional Series 3 Closed Qualifier,Spirit Academy,3,0.53 - 0.69,-14,0.85 *
12-14th,Pinnacle Fall Series 1 Regionals,Spirit Academy,8,0.69 - 0.67,3,1.02 *
9-16th,Malta Vibes Knockout Series 1,Spirit Academy,3,0.67 - 0.51,13,1.08 *
2nd,IronWar 2021,Spirit Academy,2,0.50 - 0.72,-11,0.86 *
5-8th,European Development Championship 5 Closed Qualifier,Spirit Academy,1,0.47 - 0.67,-7,0.91 *
