#,Event,Team,Maps,KPR - DPR,#ERROR!,Rating3.0
13-16th,ESL Pro League Season 15,Vitality,11,0.73 - 0.62,30,1.10 *
9-12th,IEM Katowice 2022,Vitality,7,0.71 - 0.64,17,1.10 *
1-3rd,BLAST Premier Spring Groups 2022,Vitality,8,0.88 - 0.54,69,1.39 *
3rd,BLAST Premier World Final 2021,Vitality,8,0.85 - 0.58,58,1.36 *
1st,IEM Winter 2021,Vitality,14,0.82 - 0.60,86,1.27 *
2nd,BLAST Premier Fall Final 2021,Vitality,13,0.88 - 0.60,97,1.36 *
5-8th,PGL Major Stockholm 2021,Vitality,13,0.83 - 0.61,78,1.30 *
3rd,IEM Fall 2021 Europe,Vitality,12,0.88 - 0.58,84,1.37 *
1-3rd,BLAST Premier Fall Groups 2021,Vitality,8,0.71 - 0.56,30,1.19 *
2nd,ESL Pro League Season 14,Vitality,24,0.84 - 0.59,154,1.32 *
9-12th,IEM Cologne 2021,Vitality,7,0.75 - 0.63,23,1.12 *
1-4th,IEM Cologne 2021 Play-in,Vitality,4,0.83 - 0.56,29,1.40 *
3-4th,IEM Summer 2021,Vitality,10,0.77 - 0.55,58,1.36 *
7th,Flashpoint 3,Vitality,11,0.72 - 0.63,26,1.19 *
7-8th,DreamHack Masters Spring 2021,Vitality,8,0.96 - 0.52,91,1.53 *
9-16th,BLAST Premier Spring Showdown 2021,Vitality,3,0.57 - 0.66,-7,0.83 *
13-16th,ESL Pro League Season 13,Vitality,11,0.85 - 0.66,56,1.29 *
9-12th,IEM Katowice 2021,Vitality,7,0.68 - 0.59,19,1.11 *
10-12th,BLAST Premier Spring Groups 2021,Vitality,5,0.71 - 0.67,6,1.13 *
3rd,BLAST Premier Global Final 2020,Vitality,10,0.88 - 0.58,82,1.36 *
5-6th,IEM Global Challenge 2020,Vitality,8,0.85 - 0.59,56,1.40 *
1st,BLAST Premier Fall 2020 Finals,Vitality,10,0.86 - 0.60,64,1.36 *
1st,IEM Beijing-Haidian 2020 Europe,Vitality,16,0.78 - 0.55,95,1.31 *
1-3rd,BLAST Premier Fall Series 2020,Vitality,8,0.80 - 0.64,35,1.23 *
2nd,DreamHack Open Fall 2020,Vitality,17,0.83 - 0.61,99,1.33 *
3-4th,IEM New York 2020 Europe,Vitality,7,0.88 - 0.66,48,1.34 *
9-10th,ESL Pro League Season 12 Europe,Vitality,17,0.75 - 0.62,58,1.20 *
2nd,ESL One Cologne 2020 Europe,Vitality,13,0.85 - 0.62,79,1.30
2nd,cs_summit 6 Europe,Vitality,16,0.82 - 0.60,95,1.38
2nd,BLAST Premier Spring 2020 Europe Finals,Vitality,14,0.81 - 0.60,81,1.33
1-2nd,BLAST Premier Spring 2020 Europe Showdown,Vitality,12,0.95 - 0.62,103,1.46
7-8th,DreamHack Masters Spring 2020 - Europe,Vitality,13,0.84 - 0.59,78,1.33
4th,ESL One: Road to Rio - Europe,Vitality,25,0.80 - 0.62,125,1.24
7-9th,ESL Pro League Season 11 Europe,Vitality,16,0.74 - 0.62,52,1.17
9-12th,IEM Katowice 2020,Vitality,7,0.76 - 0.63,27,1.24
7-9th,BLAST Premier Spring Series 2020,Vitality,6,0.73 - 0.65,12,1.17
1st,EPICENTER 2019,Vitality,10,0.96 - 0.53,105,1.53
3-4th,IEM Beijing 2019,Vitality,8,0.82 - 0.68,26,1.29
7-8th,StarSeries i-League Season 8,Vitality,11,0.85 - 0.65,53,1.34
9-10th,ESL Pro League Season 10 Europe,Vitality,15,0.73 - 0.62,43,1.17
2nd,DreamHack Masters Malmö 2019,Vitality,15,0.89 - 0.59,121,1.36
5-8th,StarLadder Major Berlin 2019,Vitality,9,0.77 - 0.62,35,1.22
6-8th,StarLadder Major 2019 Challengers Stage,Vitality,8,0.88 - 0.58,62,1.38
3-4th,IEM Chicago 2019,Vitality,9,0.77 - 0.65,27,1.20
3-4th,ESEA Season 31 Global Challenge,Vitality,4,0.62 - 0.70,-7,01.08
1st,ESEA MDL Season 31 Europe Finals,Vitality,2,0.87 - 0.59,17,1.36
2nd,ESL One Cologne 2019,Vitality,17,0.86 - 0.59,132,1.33
1st,ECS Season 7 Finals,Vitality,10,0.86 - 0.56,77,1.41
5-6th,DreamHack Masters Dallas 2019,Vitality,9,0.80 - 0.55,56,1.33
1st,cs_summit 4,Vitality,15,0.86 - 0.60,111,1.33
1st,ESL One Cologne 2019 Europe Closed Qualifier,Vitality,7,0.75 - 0.56,38,1.24
1-2nd,ESEA MDL Season 31 Europe,Vitality,21,0.78 - 0.59,104,1.24
1st,ECS Season 7 Europe Week 3,Vitality,7,0.87 - 0.58,52,1.44
1st,Charleroi Esports,Vitality,7,0.81 - 0.52,51,1.32
5-8th,StarSeries i-League Season 7,Vitality,12,0.83 - 0.67,51,1.22
2nd,ECS Season 7 Europe Week 2,Vitality,8,0.87 - 0.56,58,1.38
5th,ECS Season 7 Europe Pinnacle Cup,Vitality,15,0.83 - 0.62,83,1.30
9-11th,IEM Katowice 2019,Vitality,9,0.74 - 0.68,16,1.14
3-5th,IEM Katowice 2019 Challengers Stage,Vitality,5,0.86 - 0.59,40,1.33
1st,WePlay! Lock and Load,Vitality,6,0.94 - 0.48,67,1.53
2nd,Europe Minor - IEM Katowice 2019,Vitality,12,0.84 - 0.59,81,1.36
9th,ESEA MDL Season 30 Europe,Vitality,15,0.94 - 0.53,149,1.56
1-4th,ESEA MDL Season 29 Europe Relegation,Vitality,4,0.74 - 0.62,14,1.22
2nd,WESG 2018 North-West Europe,Vitality,3,0.78 - 0.70,6,01.09
5-8th,Europe Minor Closed Qualifier - IEM Katowice 2019,Vitality,9,0.97 - 0.61,85,1.50
2nd,LOOT.BET Cup #3 Finals,Vitality,5,0.95 - 0.61,42,1.52
2nd,StarSeries i-League Season 7 Europe Qualifier,Vitality,16,0.87 - 0.57,121,1.41
1st,Europe Minor Open Qualifier 4 - IEM Katowice 2019,Vitality,4,0.95 - 0.41,47,1.65
1st,DreamHack Open Atlanta 2018,Vitality,10,0.92 - 0.54,90,1.49
1st,WESG 2018 North-West Europe Qualifier 1,Vitality,5,0.87 - 0.53,40,1.48
5-8th,Europe Minor Open Qualifier 3 - IEM Katowice 2019,Vitality,2,0.92 - 0.63,17,1.50
1-2nd,LOOT.BET Cup #3,Vitality,3,0.99 - 0.47,40,1.59
5-8th,DreamHack Open Winter 2018 Europe Open Qualifier,Vitality,2,1.06 - 0.54,26,1.61
5-8th,Europe Minor Open Qualifier 1 - IEM Katowice 2019,Vitality,2,0.75 - 0.65,5,1.17
1st,DreamHack Open Atlanta 2018 Europe Closed Qualifier,Vitality,6,0.90 - 0.46,60,1.55
-,GG.BET Shuffle - IEM Chicago Qualifier,Waterboys (2),11,0.83 - 0.61,64,1.33
1st,FACEIT Major 2018 Showmatch,Team rain,1,0.76 - 0.68,3,1.11
3-4th,ESEA MDL Season 28 Europe Relegation,aAa,10,0.89 - 0.69,57,1.41
5-8th,EPICENTER 2018 Europe Open Qualifier #3,porcvac,1,0.80 - 0.73,2,1.27
5-6th,CBE 2018 Closed Qualifier,aAa,5,0.96 - 0.70,30,1.46
9-16th,ESEA Advanced Season 28 Europe,aAa,3,0.89 - 0.78,8,1.22
9-12th,StarSeries i-League Season 6 Europe Qualifier,Tempo Storm,2,0.88 - 0.82,3,1.15
