#,Event,Team,Maps,KPR - DPR,plus_minus,Rating3.0
3-4th,EPICENTER: Moscow,Natus Vincere,9,0.98 - 0.71,62,1.33
1st,ESL One New York 2016,Natus Vincere,9,0.86 - 0.62,54,1.31
13-16th,SL i-League StarSeries Season 2 Finals,Natus Vincere,2,0.59 - 0.84,-15,0.76
8th,ESL Pro League Season 4 - Europe,Natus Vincere,26,0.76 - 0.69,49,1.10
2nd,ESL One Cologne 2016,Liquid,11,0.80 - 0.69,32,1.18
5-6th,ECS Season 1 Finals,Liquid,5,0.56 - 0.71,-19,0.86
9-16th,DreamHack ZOWIE Open Summer 2016 Closed Qualifier #1,Worst Players,3,0.91 - 0.70,17,1.25
5-6th,SL i-League Invitational #1,Worst Players,8,0.97 - 0.68,61,1.38
25-28th,Operation: Kinguin #3,Worst Players,6,0.67 - 0.86,-23,0.82
13-16th,DreamHack Masters Malmö 2016,Liquid,2,0.70 - 0.81,-8,0.92
1st,MLG Columbus 2016 All-Star Match,Americas All-Stars,1,0.88 - 0.78,4,1.14
3-4th,MLG Columbus 2016,Liquid,6,0.83 - 0.69,26,1.24
2nd,iBUYPOWER Invitational Spring 2016,Liquid,8,0.80 - 0.75,12,1.11
5-8th,MLG Columbus 2016 Main Qualifier,Liquid,5,0.73 - 0.79,-8,01.03
1-2nd,DreamHack Masters Malmö 2016 NA Closed Qualifier,Liquid,6,0.85 - 0.65,28,1.28
10-17th,CEVO Gfinity Professional Season 9,Liquid,7,1.04 - 0.68,62,1.48
5-8th,IEM Katowice 2016 NA Qualifier,Liquid,3,0.84 - 0.76,6,1.16 *
7-8th,ESL Pro League Season 3,Liquid,16,0.89 - 0.68,91,1.25 *
5-8th,ELEAGUE Road to Vegas Closed EU Qualifier,FlipSid3,2,0.61 - 0.65,-2,0.95 *
1st,QuickShot Arena #18,FlipSid3,8,0.85 - 0.70,28,1.21 *
1-8th,Game Show Global eSports Cup 2016,FlipSid3,3,1.04 - 0.71,27,1.59 *
1st,Uprise Champions Cup: Europe CIS Qualifier,Arcade,2,0.85 - 0.81,3,1.10 *
25-36th,SL i-League StarSeries XIV,Orgless,2,1.07 - 0.61,25,1.59 *
3-4th,Acer Predator Masters powered by Intel Season 2,HellRaisers,6,0.92 - 0.68,38,1.34 *
5-8th,Fragbite Masters Season 5,HellRaisers,5,0.70 - 0.71,-2,0.99 *
9-12th,DreamHack Open Cluj-Napoca 2015 Qualifier at DreamHack Open Stockholm,HellRaisers,8,0.89 - 0.66,48,1.28 *
2nd,Global Offensive Champions League Season 2,HellRaisers,5,0.75 - 0.60,19,1.16 *
19th,FACEIT League 2015 Stage 3,HellRaisers,10,0.77 - 0.74,9,1.03 *
9-16th,DreamHack Open Cluj-Napoca 2015 EU pre-qualifier #2,Worst Players,3,0.88 - 0.84,4,1.10 *
3rd,D!ngIT $2000 Weekly Cup #16,Worst Players,7,0.92 - 0.80,23,1.19 *
5-6th,CEVO Professional Season 8,HellRaisers,10,0.76 - 0.71,16,1.06 *
2nd,D!ngIT $2000 Weekly Cup #11,Evolution,2,0.85 - 0.79,4,1.10 *
21-24th,World Championships 2015 European Qualifier,Ukraine,6,0.87 - 0.63,34,1.22 *
